participant,trial_index,true_label,predicted_label,model_confidence,confidence_level,is_high_attention,alpha_o1,alpha_o2,alpha_p3,alpha_p4,alpha_asymmetry,abs_asymmetry,target_side,is_correct,fold
file01,73,0,1,0.542759863119959,medium,False,6.928716,9.438935,8.389643,5.495464,-0.15336463654041524,0.15336463654041524,right,0,1
file01,75,0,1,0.5356057521088095,medium,False,11.891385,13.210923,7.578884,3.59958,-0.05256639936987468,0.05256639936987468,right,0,1
file01,78,0,1,0.5250462023919382,medium,False,24.6149,22.480789,9.010097,11.95347,0.045314358914796606,0.045314358914796606,left,0,1
file01,80,1,1,0.5317189993423119,medium,False,11.493358,11.498563,7.707802,6.167649,-0.00022638385777405323,0.00022638385777405323,left,1,1
file01,81,1,1,0.5129853359548119,medium,False,15.557306,15.927197,16.374693,4.367628,-0.011748350871273025,0.011748350871273025,left,1,1
file01,85,1,0,0.4856791608650861,low,False,40.251673,29.011398,7.716126,17.023724,0.16228380687475136,0.16228380687475136,right,1,1
file01,86,1,1,0.5773878452565455,medium,False,13.867651,26.248467,16.574227,5.336792,-0.3086244708766569,0.3086244708766569,left,1,1
file01,95,1,1,0.5370526725678095,medium,False,10.985621,11.65258,7.457332,7.146715,-0.029461659543456684,0.029461659543456684,left,1,1
file01,121,0,1,0.5273871146513812,medium,False,20.758523,21.705032,11.072968,4.52249,-0.022289913732142428,0.022289913732142428,right,0,1
file01,122,0,1,0.5018755390143719,medium,False,30.639632,24.204871,7.740602,9.799754,0.11732736246461446,0.11732736246461446,right,0,1
file01,125,0,0,0.4744836289772625,low,False,30.645573,26.047585,22.091941,4.553778,0.08110304807675292,0.08110304807675292,right,0,1
file01,133,1,0,0.42634139924050996,low,False,54.046187,39.421217,28.1605,18.188411,0.1564713388587177,0.1564713388587177,right,1,1
file01,138,1,1,0.5329725620243714,medium,False,8.835427,9.385476,7.053879,3.844499,-0.030187799683264963,0.030187799683264963,left,1,1
file01,142,1,1,0.5568742942645617,medium,False,18.512084,22.336786,9.892667,13.490912,-0.09363054366912608,0.09363054366912608,left,1,1
file01,145,1,1,0.6688023893695375,medium,False,49.960135,106.923352,85.476139,9.491331,-0.3630924944759004,0.3630924944759004,left,1,1
file01,147,1,1,0.5250539183312853,medium,False,23.205186,23.16989,11.757161,7.84349,0.0007610984667476118,0.0007610984667476118,right,1,1
file02,6,0,0,0.4566362224649691,low,False,52.292628,44.251258,27.38451,13.561265,0.0832923787292716,0.0832923787292716,left,0,1
file02,17,0,1,0.5000445016667264,medium,False,63.402956,58.57938,33.478337,43.404,0.039543233214166106,0.039543233214166106,right,0,1
file02,32,1,1,0.5431895011373442,medium,False,17.943511,25.221627,20.76586,6.425389,-0.1686109709967574,0.1686109709967574,left,1,1
file02,39,0,0,0.14416645184688967,low,False,172.517708,121.764049,120.897015,32.637739,0.1724662083879491,0.1724662083879491,right,0,1
file02,42,0,0,0.4998916430481887,low,False,141.06341,181.627101,140.142714,30.919368,-0.12570462871247978,0.12570462871247978,right,0,1
file02,50,1,1,0.5757493196870133,medium,False,254.117266,320.876085,188.985716,61.966915,-0.11610363627299815,0.11610363627299815,left,1,1
file02,52,1,1,0.5615174776257477,medium,False,19.122166,20.379103,7.991661,24.431608,-0.031820166794637256,0.031820166794637256,left,1,1
file02,61,1,1,0.5293610718739349,medium,False,27.751873,33.605235,23.918176,6.7827,-0.0953982691720368,0.0953982691720368,left,1,1
file02,63,1,1,0.5632938165405361,medium,False,51.72301,71.053858,45.843626,13.47779,-0.1574469862071495,0.1574469862071495,left,1,1
file02,65,1,1,0.6156865097736671,medium,False,90.039474,125.404788,83.208763,49.811581,-0.16415064159772963,0.16415064159772963,left,1,1
file02,71,0,1,0.5448974310354286,medium,False,20.08494,22.551414,15.555763,18.902308,-0.057849082080304516,0.057849082080304516,right,0,1
file02,81,0,1,0.5531455586726307,medium,False,62.360559,63.667955,27.882547,50.026072,-0.010373811037922625,0.010373811037922625,left,0,1
file02,82,1,1,0.5108323101050833,medium,False,71.672968,93.423559,86.25281,28.535086,-0.1317446905970064,0.1317446905970064,left,1,1
file02,89,1,0,0.17611787769909573,low,False,130.937689,72.453063,95.566137,68.234303,0.28754810696826516,0.28754810696826516,right,1,1
